Mod:Item:MetaData, Localized Name
minecraft:double_plant:5, Peónia
minecraft:red_sandstone:0, Arenito Vermelho
minecraft:red_sandstone:1, Arenito Vermelho Cinzelado
minecraft:red_sandstone:2, Arenito Vermelho Polido
minecraft:red_sandstone_stairs, Escadas de Arenito Vermelho
minecraft:stone_slab2:0, Degrau de Arenito Vermelho
minecraft:spruce_fence_gate, Portão de Madeira de Abeto
minecraft:birch_fence_gate, Portão de Madeira de Bétula
minecraft:jungle_fence_gate, Portão de Madeira da Selva
minecraft:dark_oak_fence_gate, Portão de Madeira de Carvalho Escuro
minecraft:acacia_fence_gate, Portão de Madeira de Acácia
minecraft:spruce_fence, Cerca de Madeira de Abeto
minecraft:birch_fence, Cerca de Madeira de Bétula
minecraft:jungle_fence, Cerca de Madeira da Selva
minecraft:dark_oak_fence, Cerca de Madeira de Carvalho Escuro
minecraft:acacia_fence, Cerca de Madeira de Acácia
minecraft:end_rod, Vara do End
minecraft:chorus_plant, Planta do Coro
minecraft:chorus_flower, Flor do Coro
minecraft:purpur_block, Bloco de Púrpura
minecraft:purpur_pillar, Pilar de Púrpura
minecraft:purpur_stairs, Escadas de Púrpura
minecraft:purpur_slab:0, Degrau de Púrpura
minecraft:end_bricks, Tijolos de Pedra do End
minecraft:grass_path, Caminho de Relva
minecraft:repeating_command_block, Bloco de Comando Repetitivo
minecraft:chain_command_block, Bloco de Comando em Cadeia
minecraft:magma, Bloco de Magma
minecraft:nether_wart_block, Bloco de Fungo do Nether
minecraft:red_nether_brick, Tijolos do Nether Vermelhos
minecraft:bone_block, Bloco de Osso
minecraft:structure_void, Vazio Estrutural
minecraft:observer, Observador
minecraft:white_shulker_box, Caixa de Shulker Branca
minecraft:orange_shulker_box, Caixa de Shulker Laranja
minecraft:magenta_shulker_box, Caixa de Shulker Magenta
minecraft:light_blue_shulker_box, Caixa de Shulker Azul-Clara
minecraft:yellow_shulker_box, Caixa de Shulker Amarela
minecraft:lime_shulker_box, Caixa de Shulker Verde-Lima
minecraft:pink_shulker_box, Caixa de Shulker Rosa
minecraft:gray_shulker_box, Caixa de Shulker Cinzenta
minecraft:silver_shulker_box, Caixa de Shulker Cinzento-Clara
minecraft:cyan_shulker_box, Caixa de Shulker Azul-Ciano
minecraft:purple_shulker_box, Caixa de Shulker Roxa
minecraft:blue_shulker_box, Caixa de Shulker Azul
minecraft:brown_shulker_box, Caixa de Shulker Castanha
minecraft:green_shulker_box, Caixa de Shulker Verde
minecraft:red_shulker_box, Caixa de Shulker Vermelha
minecraft:black_shulker_box, Caixa de Shulker Preta
minecraft:white_glazed_terracotta, Terracota Envidraçada Branca
minecraft:orange_glazed_terracotta, Terracota Envidraçada Laranja
minecraft:magenta_glazed_terracotta, Terracota Envidraçada Magenta
minecraft:light_blue_glazed_terracotta, Terracota Envidraçada Azul Clara
minecraft:yellow_glazed_terracotta, Terracota Envidraçada Amarela
minecraft:lime_glazed_terracotta, Terracota Envidraçada Verde-Lima
minecraft:pink_glazed_terracotta, Terracota Envidraçada Rosa
minecraft:gray_glazed_terracotta, Terracota Envidraçada Cinzenta
minecraft:silver_glazed_terracotta, Terracota Envidraçada Cinzento-Clara
minecraft:cyan_glazed_terracotta, Terracota Envidraçada Azul Ciano
minecraft:purple_glazed_terracotta, Terracota Envidraçada Roxa
minecraft:blue_glazed_terracotta, Terracota Envidraçada Azul
minecraft:brown_glazed_terracotta, Terracota Envidraçada Castanha
minecraft:green_glazed_terracotta, Terracota Envidraçada Verde
minecraft:red_glazed_terracotta, Terracota Envidraçada Vermelha
minecraft:black_glazed_terracotta, Terracota Envidraçada Preta
minecraft:concrete:0, Betão Branco
minecraft:concrete:1, Betão Laranja
minecraft:concrete:2, Betão Magenta
minecraft:concrete:3, Betão Azul-Claro
minecraft:concrete:4, Betão Amarelo
minecraft:concrete:5, Betão Verde-Lima
minecraft:concrete:6, Betão Cor-de-Rosa
minecraft:concrete:7, Betão Cinzento
minecraft:concrete:8, Betão Cinzento-Claro
minecraft:concrete:9, Betão Azul-Ciano
minecraft:concrete:10, Betão Roxo
minecraft:concrete:11, Betão Azul
minecraft:concrete:12, Betão Castanho
minecraft:concrete:13, Betão Verde
minecraft:concrete:14, Betão Vermelho
minecraft:concrete:15, Betão Preto
minecraft:concrete_powder:0, Betão Branco em Pó
minecraft:concrete_powder:1, Betão Laranja em Pó
minecraft:concrete_powder:2, Betão Magenta em Pó
minecraft:concrete_powder:3, Betão Azul-Claro em Pó
minecraft:concrete_powder:4, Betão Amarelo em Pó
minecraft:concrete_powder:5, Betão Verde-Lima em Pó
minecraft:concrete_powder:6, Betão Cor-de-Rosa em Pó
minecraft:concrete_powder:7, Betão Cinzento em Pó
minecraft:concrete_powder:8, Betão Cinzento-Claro em Pó
minecraft:concrete_powder:9, Betão Azul-Ciano em Pó
minecraft:concrete_powder:10, Betão Roxo em Pó
minecraft:concrete_powder:11, Betão Azul em Pó
minecraft:concrete_powder:12, Betão Castanho em Pó
minecraft:concrete_powder:13, Betão Verde em Pó
minecraft:concrete_powder:14, Betão Vermelho em Pó
minecraft:concrete_powder:15, Betão Preto em Pó
minecraft:structure_block, Bloco de Estrutura
minecraft:iron_shovel, Pá de Ferro
minecraft:iron_pickaxe, Picareta de Ferro
minecraft:iron_axe, Machado de Ferro
minecraft:flint_and_steel, Isqueiro
minecraft:apple, Maçã
minecraft:bow, Arco
minecraft:arrow, Flecha
minecraft:coal:0, Carvão
minecraft:coal:1, Carvão Vegetal
minecraft:diamond, Diamante
minecraft:iron_ingot, Barra de Ferro
minecraft:gold_ingot, Barra de Ouro
minecraft:iron_sword, Espada de Ferro
minecraft:wooden_sword, Espada de Madeira
minecraft:wooden_shovel, Pá de Madeira
minecraft:wooden_pickaxe, Picareta de Madeira
minecraft:wooden_axe, Machado de Madeira
minecraft:stone_sword, Espada de Pedra
minecraft:stone_shovel, Pá de Pedra
minecraft:stone_pickaxe, Picareta de Pedra
minecraft:stone_axe, Machado de Pedra
minecraft:diamond_sword, Espada de Diamante
minecraft:diamond_shovel, Pá de Diamante
minecraft:diamond_pickaxe, Picareta de Diamante
minecraft:diamond_axe, Machado de Diamante
minecraft:stick, Pau
minecraft:bowl, Tigela
minecraft:mushroom_stew, Guisado de Cogumelos
minecraft:golden_sword, Espada de Ouro
minecraft:golden_shovel, Pá de Ouro
minecraft:golden_pickaxe, Picareta de Ouro
minecraft:golden_axe, Machado de Ouro
minecraft:string, Fio
minecraft:feather, Pena
minecraft:gunpowder, Pólvora
minecraft:wooden_hoe, Enxada de Madeira
minecraft:stone_hoe, Enxada de Pedra
minecraft:iron_hoe, Enxada de Ferro
minecraft:diamond_hoe, Enxada de Diamante
minecraft:golden_hoe, Enxada de Ouro
minecraft:wheat_seeds, Sementes
minecraft:wheat, Trigo
minecraft:bread, Pão
minecraft:leather_helmet, Capacete de Couro
minecraft:leather_chestplate, Túnica de Couro
minecraft:leather_leggings, Perneiras de Couro
minecraft:leather_boots, Botas de Couro
minecraft:chainmail_helmet, Capacete de Cota de Malha
minecraft:chainmail_chestplate, Peitoral de Cota de Malha
minecraft:chainmail_leggings, Perneiras de Cota de Malha
minecraft:chainmail_boots, Botas de Cota de Malha
minecraft:iron_helmet, Capacete de Ferro
minecraft:iron_chestplate, Peitoral de Ferro
minecraft:iron_leggings, Perneiras de Ferro
minecraft:iron_boots, Botas de Ferro
minecraft:diamond_helmet, Capacete de Diamante
minecraft:diamond_chestplate, Peitoral de Diamante
minecraft:diamond_leggings, Perneiras de Diamante
minecraft:diamond_boots, Botas de Diamante
minecraft:golden_helmet, Capacete de Ouro
minecraft:golden_chestplate, Peitoral de Ouro
minecraft:golden_leggings, Perneiras de Ouro
minecraft:golden_boots, Botas de Ouro
minecraft:flint, Sílex
minecraft:porkchop, Costeleta de Porco Crua
minecraft:cooked_porkchop, Costeleta de Porco Assada
minecraft:painting, Quadro
minecraft:golden_apple:0, Maçã Dourada
minecraft:golden_apple:1, Maçã Dourada
minecraft:sign, Tabuleta
minecraft:wooden_door, Porta de Carvalho
minecraft:bucket, Balde
minecraft:water_bucket, Balde de Água
minecraft:lava_bucket, Balde de Lava
minecraft:minecart, Vagão
minecraft:saddle, Sela
minecraft:iron_door, Porta de Ferro
minecraft:redstone, Redstone
minecraft:snowball, Bola de Neve
minecraft:boat, Barco de Carvalho
minecraft:leather, Couro
minecraft:milk_bucket, Leite
minecraft:brick, Tijolo
minecraft:clay_ball, Barro
minecraft:reeds, Canas-de-Açúcar
minecraft:paper, Papel
minecraft:book, Livro
minecraft:slime_ball, Bola de Slime
minecraft:chest_minecart, Vagão com Baú
minecraft:furnace_minecart, Vagão com Fornalha
minecraft:egg, Ovo
minecraft:compass, Bússola
minecraft:fishing_rod, Cana de Pesca
minecraft:clock, Relógio
minecraft:glowstone_dust, Pó de Pedra Luminosa
minecraft:fish:0, Bacalhau Cru
minecraft:fish:1, Salmão Cru
minecraft:fish:2, Peixe-Palhaço
minecraft:fish:3, Peixe-Balão
minecraft:cooked_fish:0, Bacalhau Cozido
minecraft:cooked_fish:1, Salmão Cozido
minecraft:dye:0, Saco de Tinta
minecraft:dye:1, Vermelho Rosa
minecraft:dye:2, Verde-Cato
minecraft:dye:3, Sementes de Cacau
minecraft:dye:4, Lápis-Lazúli
minecraft:dye:5, Tinta Roxa
minecraft:dye:6, Tinta Azul-Ciano
minecraft:dye:7, Tinta Cinzento-Clara
minecraft:dye:8, Tinta Cinzenta
minecraft:dye:9, Tinta Rosa
minecraft:dye:10, Tinta Verde-Lima
minecraft:dye:11, Amarelo-Dente-de-Leão
minecraft:dye:12, Tinta Azul-Clara
minecraft:dye:13, Tinta Magenta
minecraft:dye:14, Tinta Laranja
minecraft:dye:15, Farinha de Osso
minecraft:bone, Osso
minecraft:sugar, Açúcar
minecraft:cake, Bolo
minecraft:bed:0, Cama Branca
minecraft:bed:1, Cama Laranja
minecraft:bed:2, Cama Magenta
minecraft:bed:3, Cama Azul-Clara
minecraft:bed:4, Cama Amarela
minecraft:bed:5, Cama Verde-Lima
minecraft:bed:6, Cama Rosa
minecraft:bed:7, Cama Cinzenta
minecraft:bed:8, Cama Cinzento-Clara
minecraft:bed:9, Cama Azul-Ciano
minecraft:bed:10, Cama Roxa
minecraft:bed:11, Cama Azul
minecraft:bed:12, Cama Castanha
minecraft:bed:13, Cama Verde
minecraft:bed:14, Cama Vermelha
minecraft:bed:15, Cama Preta
minecraft:repeater, Repetidor de Redstone
minecraft:cookie, Bolacha
minecraft:filled_map:0, Mapa
minecraft:shears, Tesoura
minecraft:melon, Melancia
minecraft:pumpkin_seeds, Sementes de Abóbora
minecraft:melon_seeds, Sementes de Melancia
minecraft:beef, Bife Cru
minecraft:cooked_beef, Bife
minecraft:chicken, Frango Cru
minecraft:cooked_chicken, Frango Assado
minecraft:rotten_flesh, Carne Podre
minecraft:ender_pearl, Pérola do End
minecraft:blaze_rod, Vara de Blaze
minecraft:ghast_tear, Lágrima de Ghast
minecraft:gold_nugget, Pepita de Ouro
minecraft:nether_wart, Fungo do Nether
minecraft:potion, Poção
minecraft:glass_bottle, Frasco de Vidro
minecraft:spider_eye, Olho de Aranha
minecraft:fermented_spider_eye, Olho de Aranha Fermentado
minecraft:blaze_powder, Pó de Blaze
minecraft:magma_cream, Creme de Magma
minecraft:brewing_stand, Fermentador
minecraft:cauldron, Caldeirão
minecraft:ender_eye, Olho do End
minecraft:speckled_melon, Melancia Reluzente
minecraft:spawn_egg, Evocar
minecraft:experience_bottle, Frasco d'Encantamento
minecraft:fire_charge, Projétil de Fogo
minecraft:writable_book, Livro e Pena
minecraft:written_book, Livro Escrito
minecraft:emerald, Esmeralda
minecraft:item_frame, Quadro de Item
minecraft:flower_pot, Vaso de Flores
minecraft:carrot, Cenoura
minecraft:potato, Batata
minecraft:baked_potato, Batata Assada
minecraft:poisonous_potato, Batata Venenosa
minecraft:map, Mapa Vazio
minecraft:golden_carrot, Cenoura Dourada
minecraft:skull:0, Crânio de Esqueleto
minecraft:skull:1, Crânio de Esqueleto Wither
minecraft:skull:2, Cabeça de Zombie
minecraft:skull:3, Cabeça
minecraft:skull:4, Cabeça de Creeper
minecraft:skull:5, Cabeça de Dragão
minecraft:carrot_on_a_stick, Cenoura num Pau
minecraft:nether_star, Estrela do Nether
minecraft:pumpkin_pie, Tarte de Abóbora
minecraft:fireworks, Fogo de Artifício
minecraft:firework_charge, Estrela de Fogo de Artifício
minecraft:enchanted_book, Livro Encantado
minecraft:comparator, Comparador de Redstone
minecraft:netherbrick, Tijolo do Nether
minecraft:quartz, Quartzo do Nether
minecraft:tnt_minecart, Vagão com TNT
minecraft:hopper_minecart, Vagão com Funil
minecraft:prismarine_shard, Pedaço de Prismarinho
minecraft:prismarine_crystals, Cristais de Prismarinho
minecraft:rabbit, Carne de Coelho Cru
minecraft:cooked_rabbit, Carne de Coelho Cozida
minecraft:rabbit_stew, Guisado de Coelho
minecraft:rabbit_foot, Pé de Coelho
minecraft:rabbit_hide, Pele de Coelho
minecraft:armor_stand, Suporte de Armadura
minecraft:iron_horse_armor, Armadura de Ferro para Cavalo
minecraft:golden_horse_armor, Armadura de Ouro para Cavalo
minecraft:diamond_horse_armor, Armadura de Diamante para Cavalo
minecraft:lead, Corda
minecraft:name_tag, Etiqueta
minecraft:command_block_minecart, Vagão com Bloco de Comando
minecraft:mutton, Carne de Carneiro Crua
minecraft:cooked_mutton, Carne de Carneiro Cozida
minecraft:banner:15, Estandarte Branco
minecraft:banner:14, Estandarte Laranja
minecraft:banner:13, Estandarte Magenta
minecraft:banner:12, Estandarte Azul-Claro
minecraft:banner:11, Estandarte Amarelo
minecraft:banner:10, Estandarte Verde-Lima
minecraft:banner:9, Estandarte Rosa
minecraft:banner:8, Estandarte Cinzento
minecraft:banner:7, Estandarte Cinzento-Claro
minecraft:banner:6, Estandarte Azul-Ciano
minecraft:banner:5, Estandarte Roxo
minecraft:banner:4, Estandarte Azul
minecraft:banner:3, Estandarte Castanho
minecraft:banner:2, Estandarte Verde
minecraft:banner:1, Estandarte Vermelho
minecraft:banner:0, Estandarte Preto
minecraft:end_crystal, Cristal do End
minecraft:spruce_door, Porta de Abeto
minecraft:birch_door, Porta de Bétula
minecraft:jungle_door, Porta de Madeira da Selva
minecraft:acacia_door, Porta de Acácia
minecraft:dark_oak_door, Porta de Carvalho Escuro
minecraft:chorus_fruit, Fruta do Coro
minecraft:chorus_fruit_popped, Fruta do Coro Rebentada
minecraft:beetroot, Beterraba
minecraft:beetroot_seeds, Sementes de Beterraba
minecraft:beetroot_soup, Sopa de Beterraba
minecraft:dragon_breath, Hálito de Dragão
minecraft:splash_potion, Poção de Arremesso
minecraft:spectral_arrow, Flecha Espectral
minecraft:tipped_arrow, Flecha com Efeito
minecraft:lingering_potion, Poção Prolongada
minecraft:shield, Escudo
minecraft:elytra, Élitros
minecraft:spruce_boat, Barco de Abeto
minecraft:birch_boat, Barco de Bétula
minecraft:jungle_boat, Barco de Madeira da Selva
minecraft:acacia_boat, Barco de Acácia
